tweet_avatar,tweet_id,url,query,text,username,fullname,timestamp,language,in_reply_to,replies,retweets,quotes,images,likes,banner_image,total_tweets,num_following,num_followers,total_likes,tweet_links,tweet_hashtags,tweet_mentions
https://pbs.twimg.com/profile_images/1637435293027667969/CM3GSWGh_400x400.jpg,1715302932852482236,https://twitter.com/Mikirduitcom/status/1715302932852482236,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Terus masih bisa bangkit gak? harusnya bisa tapi nunggu nanti suku bunga mulai turun maybe di semester II/2024. 

Cerita lengkapnya $BTPS bisa baca di sini: mikirduit.com/nasib-saham-bt…",@Mikirduitcom,mikir duit,2023-10-20 09:44:00+00:00,,[],1,0,0,[],0,,,,,,['https://www.mikirduit.com/nasib-saham-btps-eks-ladang-cuan-tp-rachmat-yang-lagi-turun/'],['#BTPS'],[]
https://pbs.twimg.com/profile_images/1637435293027667969/CM3GSWGh_400x400.jpg,1715302833808199939,https://twitter.com/Mikirduitcom/status/1715302833808199939,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Why? ya suku bunga tinggi bikin ekonomi melambat. Dan yang pertama terkena segmen menengah ke bawah yang jadi marketnya si BTPS ini. Di sini, BTPS bakal mati2an naikin pencadangan nih",@Mikirduitcom,mikir duit,2023-10-20 09:43:00+00:00,,[],1,0,0,[],0,,,,,,[],[],[]
https://pbs.twimg.com/profile_images/1637435293027667969/CM3GSWGh_400x400.jpg,1715302796843684185,https://twitter.com/Mikirduitcom/status/1715302796843684185,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Nah, kenapa dia turun? jawabannya ya karena suku bunga lagi tinggi sih dan bisnis BTPS ini adalah kredit tingkat risiko tinggi saat suku bunga tinggi.",@Mikirduitcom,mikir duit,2023-10-20 09:43:00+00:00,,[],1,0,0,[],0,,,,,,[],[],[]
https://pbs.twimg.com/profile_images/1204930524273246208/AalGteSv_400x400.jpg,1715300093325463958,https://twitter.com/antarabiz/status/1715300093325463958,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Ekonom nilai kenaikan suku bunga BI akan menekan konsumsi masyarakat dlvr.it/Sxj4jM,@antarabiz,ANTARA Business News,2023-10-20 09:33:00+00:00,,[],0,0,0,[],0,,,,,,['http://dlvr.it/Sxj4jM'],[],[]
https://pbs.twimg.com/profile_images/1598573955513692160/leorpOyo_400x400.jpg,1715299845739798634,https://twitter.com/Bisniscom/status/1715299845739798634,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,Bos BCA Bicara Ramalan Kredit 2023 di Tengah Kenaikan Suku Bunga BI finansial.bisnis.com/read/20…,@Bisniscom,Bisnis.com,2023-10-20 09:32:00+00:00,,[],0,1,0,[],1,,,,,,['https://finansial.bisnis.com/read/20231020/90/1706034/bos-bca-bicara-ramalan-kredit-2023-di-tengah-kenaikan-suku-bunga-bi?utm_source=dlvr.it&utm_medium=twitter'],[],[]
https://pbs.twimg.com/profile_images/534971866033577984/zfQ7DI0G_400x400.png,1715298840818094179,https://twitter.com/dotsolutionnet/status/1715298840818094179,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Top Isu, 19 Oktober 2023
1. Anies-Cak Imin Daftar Pilpres ke KPU
2. Ganjar-Mahfud Daftar Pilpres ke KPU
3. Siapa Bakal Cawapres Prabowo?
4. RS Gaza di BOM
5. Batuan Kemanusiaan Untuk Gaza
6. Kenaikan Suku Bunga BI
7. Vonis Hukum Lukas Enembe
#issue #isu #kliping #clipnews #humas",@dotsolutionnet,media monitoring,2023-10-20 09:28:00+00:00,,[],0,0,0,['https://pbs.twimg.com/media/F833M6pbwAA-NRI.jpg?format=jpg&name=medium'],0,,,,,,[],"['#issue', '#isu', '#kliping', '#clipnews', '#humas']",[]
https://pbs.twimg.com/profile_images/1268802866568806401/nqL8otRC_400x400.jpg,1715297755227402482,https://twitter.com/cnbcindonesia/status/1715297755227402482,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Bank Indonesia (BI) telah memutuskan untuk menaikkan suku bunga acuan menjadi 6%. 

cnbcindonesia.com/market/202…",@cnbcindonesia,CNBC Indonesia,2023-10-20 09:23:00+00:00,,[],0,0,0,[],0,,,,,,['https://www.cnbcindonesia.com/market/20231020134610-17-482296/suku-bunga-bi-naik-cek-bunga-deposito-bca-bri-bni-mandiri?utm_source=Twitter&utm_medium=oa&utm_campaign=cnbcindonesia'],[],[]
https://pbs.twimg.com/profile_images/685843718386008064/h6yjVF4J_400x400.jpg,1715296799148384346,https://twitter.com/idx_channel/status/1715296799148384346,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Tertekan kenaikan suku bunga, intip prospek saham otomatif dan properti 
idxchannel.com/market-news/t…",@idx_channel,IDX CHANNEL,2023-10-20 09:20:00+00:00,,[],0,0,0,[],2,,,,,,['https://www.idxchannel.com/market-news/tertekan-kenaikan-suku-bunga-intip-prospek-saham-otomotif-dan-properti'],[],[]
https://pbs.twimg.com/profile_images/1400348185059467266/avV5WftG_400x400.jpg,1715295550659256352,https://twitter.com/bisnisindo_id/status/1715295550659256352,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Suku Bunga Naik, Ini Poin Penting Hasil RDG Bank Indonesia bisnisindonesia.id/article/s…",@bisnisindo_id,BisnisIndonesia.id,2023-10-20 09:15:00+00:00,,[],0,0,0,[],0,,,,,,['https://bisnisindonesia.id/article/suku-bunga-naik-ini-poin-penting-hasil-rdg-bank-indonesia?utm_source=dlvr.it&utm_medium=twitter'],[],[]
https://pbs.twimg.com/profile_images/1595417682681032704/ze3ntT2h_400x400.png,1715291523577958428,https://twitter.com/AuroraL94/status/1715291523577958428,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Berpengaruh kak,ekonomi kita bisa bagus atau menurun. Kalau salah2 nanti nilai tukar rp kita bisa kalah akhirnya lama2 suku bunga naik dan barang2 tambah mahal kak. Ngaruh banget ini nnti efeknya kerasa ke hidup sehari2.",@AuroraL94,Aurora Lee,2023-10-20 08:59:00+00:00,,"['@brownchocholate', '@tanyakanrl']",0,0,0,[],0,,,,,,[],[],[]
https://pbs.twimg.com/profile_images/1598573955513692160/leorpOyo_400x400.jpg,1715289019712737663,https://twitter.com/Bisniscom/status/1715289019712737663,https://twitter.com/search?q=suku%20bunga%20include%3Anativeretweets%20since%3A2023-10-19&src=typed_query,"Efek BI Kerek Suku Bunga Belum Terasa, Rupiah Dekati Rp15.900 per Dolar AS market.bisnis.com/read/20231…",@Bisniscom,Bisnis.com,2023-10-20 08:49:00+00:00,,[],0,0,0,[],0,,,,,,['https://market.bisnis.com/read/20231020/93/1706285/efek-bi-kerek-suku-bunga-belum-terasa-rupiah-dekati-rp15900-per-dolar-as?utm_source=dlvr.it&utm_medium=twitter'],[],[]
